time,old_path,new_path
2026-01-14T09:47:14.577104,D:\BaiduSyncdisk\2025\研究\合约设计\（1稿）2025-07郑商所气温指数期货合约规则（草案）及相关说明 - 丁毅部分.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:47:14.708796,D:\BaiduSyncdisk\2025\研究\合约设计\（1稿）2025-07郑商所气温指数期货合约规则（草案）及相关说明dy.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710气温指数期货合约规则（草案）及设计说明(1).docx
2026-01-14T09:47:14.796035,D:\BaiduSyncdisk\2025\研究\合约设计\（2稿）2025-07-17郑商所气温指数期货合约规则（草案）及相关说明.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250718气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:47:14.907202,D:\BaiduSyncdisk\2025\研究\合约设计\（2稿）2025-07-18郑商所气温指数期货合约规则（草案）及相关说明_1.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250719气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:48:08.039495,D:\BaiduSyncdisk\2025\研究\合约设计\2025-07-14郑商所气温指数分布与波动特点.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250716标的气温指数分布与波动特点.docx
2026-01-14T09:48:08.041121,D:\BaiduSyncdisk\2025\研究\合约设计\分解.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解.xlsx
2026-01-14T09:48:08.042478,D:\BaiduSyncdisk\2025\研究\合约设计\分解更新.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解更新.xlsx
2026-01-14T09:48:08.043929,D:\BaiduSyncdisk\2025\研究\合约设计\分解更新含曲线.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解更新含曲线.xlsx
2026-01-14T09:48:08.045121,D:\BaiduSyncdisk\2025\研究\合约设计\年化波动率相关.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250715年化波动率相关.xlsx
2026-01-14T09:48:08.046451,D:\BaiduSyncdisk\2025\研究\合约设计\数据丁毅.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250710数据丁毅.xlsx
2026-01-14T09:48:08.052056,D:\BaiduSyncdisk\2025\研究\合约设计\标的选择.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250720标的选择.docx
2026-01-14T09:48:08.053192,D:\BaiduSyncdisk\2025\研究\合约设计\气温指数合约设计更新数据1107(史一诺).xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250214气温指数合约设计更新数据1107(史一诺).xlsx
2026-01-14T09:48:08.061570,D:\BaiduSyncdisk\2025\研究\合约设计\表1 珠三角月制冷指数期货合约.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710表1珠三角月制冷指数期货合约（草案）.docx
2026-01-14T09:48:08.062691,D:\BaiduSyncdisk\2025\研究\合约设计\附件报告数据.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250714附件报告数据.xlsx
2026-01-14T09:48:08.179871,D:\BaiduSyncdisk\2025\研究\合约设计\（1稿）2025-07郑商所气温指数期货合约规则（草案）及相关说明 - 丁毅部分.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:48:08.314959,D:\BaiduSyncdisk\2025\研究\合约设计\（1稿）2025-07郑商所气温指数期货合约规则（草案）及相关说明dy.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710气温指数期货合约规则（草案）及设计说明(1).docx
2026-01-14T09:48:08.398167,D:\BaiduSyncdisk\2025\研究\合约设计\（2稿）2025-07-17郑商所气温指数期货合约规则（草案）及相关说明.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250718气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:48:08.503913,D:\BaiduSyncdisk\2025\研究\合约设计\（2稿）2025-07-18郑商所气温指数期货合约规则（草案）及相关说明_1.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250719气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:59:56.827295,D:\BaiduSyncdisk\2025\研究\合约设计\2025-07-14郑商所气温指数分布与波动特点.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250716标的气温指数分布与波动特点.docx
2026-01-14T09:59:56.828732,D:\BaiduSyncdisk\2025\研究\合约设计\分解.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解.xlsx
2026-01-14T09:59:56.829983,D:\BaiduSyncdisk\2025\研究\合约设计\分解更新.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解更新.xlsx
2026-01-14T09:59:56.831105,D:\BaiduSyncdisk\2025\研究\合约设计\分解更新含曲线.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解更新含曲线.xlsx
2026-01-14T09:59:56.832197,D:\BaiduSyncdisk\2025\研究\合约设计\年化波动率相关.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250715年化波动率相关.xlsx
2026-01-14T09:59:56.833282,D:\BaiduSyncdisk\2025\研究\合约设计\数据丁毅.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250710数据丁毅.xlsx
2026-01-14T09:59:56.840648,D:\BaiduSyncdisk\2025\研究\合约设计\标的选择.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250720标的选择.docx
2026-01-14T09:59:56.841760,D:\BaiduSyncdisk\2025\研究\合约设计\气温指数合约设计更新数据1107(史一诺).xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250214气温指数合约设计更新数据1107(史一诺).xlsx
2026-01-14T09:59:56.849730,D:\BaiduSyncdisk\2025\研究\合约设计\表1 珠三角月制冷指数期货合约.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710中原气温指数期货合约.docx
2026-01-14T09:59:56.850841,D:\BaiduSyncdisk\2025\研究\合约设计\附件报告数据.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250714附件报告数据.xlsx
2026-01-14T09:59:56.905365,D:\BaiduSyncdisk\2025\研究\合约设计\（1稿）2025-07郑商所气温指数期货合约规则（草案）及相关说明 - 丁毅部分.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:59:57.010957,D:\BaiduSyncdisk\2025\研究\合约设计\（1稿）2025-07郑商所气温指数期货合约规则（草案）及相关说明dy.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710气温指数期货合约规则（草案）及设计说明(1).docx
2026-01-14T09:59:57.060128,D:\BaiduSyncdisk\2025\研究\合约设计\（2稿）2025-07-17郑商所气温指数期货合约规则（草案）及相关说明.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250718气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:59:57.130686,D:\BaiduSyncdisk\2025\研究\合约设计\（2稿）2025-07-18郑商所气温指数期货合约规则（草案）及相关说明_1.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250719气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T10:00:34.290574,D:\BaiduSyncdisk\2025\研究\地理基差研究\s10479-023-05483-3.pdf,D:\BaiduSyncdisk\2025\研究\地理基差研究\其他\20250610derivatives.pdf
2026-01-14T10:00:34.384027,D:\BaiduSyncdisk\2025\研究\地理基差研究\论文形式.docx,D:\BaiduSyncdisk\2025\研究\地理基差研究\其他\20250610收稿日期：2025-06-10.docx
2026-01-14T10:01:46.251135,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\4个美国城市天气衍生品结算价波动率情况 - 副本.xlsx,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\Excel文件\202501154个美国城市天气衍生品结算价波动率情况 - 副本.xlsx
2026-01-14T10:01:46.273316,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\关于上期所基准温度的波动率考虑的情况.docx,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\其他\20250225关于上期所基准温度的波动率考虑的情况.docx
2026-01-14T10:01:46.274811,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\数据集合.xls,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\Excel文件\20250225数据集合.xls
2026-01-14T10:01:46.286419,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\未加背景场的波动规律(1).docx,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\其他\20250225结论：MCDD、MHDD未加背景场时的日间波幅高于加背景场的.docx
2026-01-14T10:01:46.297860,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\未加背景场的波动规律.docx,D:\BaiduSyncdisk\2025\研究\不加背景场指数规律研究\其他\20250225结论：MCDD、MHDD未加背景场时的日间波幅高于加背景场的(1).docx
2026-01-14T10:02:30.116142,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\1-s2.0-S2212096323000517-main.pdf,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\其他\2025062621264.pdf
2026-01-14T10:02:30.128916,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\251013 天气指数保险调研提纲 （净版）.docx,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\其他\20251013天气指数试点参与机构调研提纲.docx
2026-01-14T10:02:30.140371,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\251013 天气指数保险调研提纲.docx,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\其他\20251013天气指数试点参与机构调研提纲(1).docx
2026-01-14T10:02:30.150249,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\天气保险调研提纲.docx,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\其他\20251009天气保险调研提纲.docx
2026-01-14T10:02:30.175931,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\附件7-1境内天气风险管理实践的报告：天气指数应用试点情况√.docx,D:\BaiduSyncdisk\2025\研究\保险和衍生品区别\报告\20250919境内天气衍生品市场的研究报告：我国天气指数应用试点情况.docx
2026-01-14T10:02:54.913760,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\24小时气温数据.docx,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\其他\20250117用24个逐小时气温而非4次定时气温构建气温指数的必要性材料.docx
2026-01-14T10:02:54.915286,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\4个美国城市天气衍生品结算价波动率情况 - 副本.xlsx,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\Excel文件\202501154个美国城市天气衍生品结算价波动率情况 - 副本.xlsx
2026-01-14T10:02:54.916533,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\4个美国城市天气衍生品结算价波动率情况.xlsx,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\Excel文件\202501154个美国城市天气衍生品结算价波动率情况.xlsx
2026-01-14T10:02:54.917863,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\ebc50db99725960ad953bc3a34976be.png,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\图像文件\20250113ebc50db99725960ad953bc3a34976be.png
2026-01-14T10:02:55.033144,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\人工观测和自动观测对比.pdf,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\其他\20250117自动站与人工观测气温的对比分析.pdf
2026-01-14T10:02:55.080006,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\天气衍生品波动率情况说明.docx,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\其他\20250115CME天气衍生品波动率情况说明材料.docx
2026-01-14T10:02:55.081312,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\工作簿1.xlsx,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\Excel文件\20250113工作簿1.xlsx
2026-01-14T10:02:55.092336,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\提纲.docx,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\其他\20250114CME气温指数及指数期货结算价波动规律的统计分析.docx
2026-01-14T10:02:55.215753,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\民用建筑标准.pdf,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\其他\20250119民用建筑热环境设计室内外计算参数标准.pdf
2026-01-14T10:02:55.217140,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\纽约冬季夏季不同温度下指数波动率.xlsx,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\Excel文件\20250120纽约冬季夏季不同温度下指数波动率.xlsx
2026-01-14T10:02:55.218288,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\计算.xls,D:\BaiduSyncdisk\2025\研究\CME指数波动率研究\Excel文件\20250120计算.xls
2026-01-14T10:03:29.767839,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0210关于我所气温指数新增基准地的研究报告(3) (1).docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250210关于我所气温指数新增基准地的研究报告.docx
2026-01-14T10:03:29.810923,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0210关于我所气温指数新增基准地的研究报告(改).docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250210关于我所气温指数新增基准地的研究报告(1).docx
2026-01-14T10:03:29.843387,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0211关于我所气温指数新增基准地的研究报告.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250211关于我所气温指数新增基准地的研究报告.docx
2026-01-14T10:03:29.882260,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0213关于我所气温指数新增基准地的研究报告 -dy.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250213关于我所气温指数新增基准地的研究报告.docx
2026-01-14T10:03:29.912221,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0213关于我所气温指数新增基准地的研究报告.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250213关于我所气温指数新增基准地的研究报告(1).docx
2026-01-14T10:03:29.984951,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0214关于我所气温指数新增基准地的研究报告(dy汇总).docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250214关于我所气温指数新增基准地的研究报告.docx
2026-01-14T10:03:30.022288,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0214关于我所气温指数新增基准地的研究报告.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250214关于我所气温指数新增基准地的研究报告(1).docx
2026-01-14T10:03:30.091989,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0218关于我所气温指数新增基准地的研究报告.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250217关于我所气温指数新增基准地的研究报告.docx
2026-01-14T10:03:30.134933,D:\BaiduSyncdisk\2025\研究\基准地调整研究\0218关于我所气温指数新增基准地的研究报告20250217-3.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250218关于我所气温指数新增基准地并编制区域指数的研究报告.docx
2026-01-14T10:03:30.185004,D:\BaiduSyncdisk\2025\研究\基准地调整研究\17297-1998-gbt-e-300.pdf,D:\BaiduSyncdisk\2025\研究\基准地调整研究\其他\2025020617297-1998-gbt-e-300.pdf
2026-01-14T10:03:30.225483,D:\BaiduSyncdisk\2025\研究\基准地调整研究\20250205区域编制调整与谈判思路.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\其他\20250206气温指数编制方案调整及工作协商思路.docx
2026-01-14T10:03:30.245941,D:\BaiduSyncdisk\2025\研究\基准地调整研究\20250206区域调整研究大纲.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250206气温指数新增基准地筛选研究.docx
2026-01-14T10:03:30.280107,D:\BaiduSyncdisk\2025\研究\基准地调整研究\20250217 关于我所气温指数新增基准地并编制区域指数的研究报告-报送左总.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250219关于我所气温指数新增基准地并编制区域指数的研究报告.docx
2026-01-14T10:03:30.318341,D:\BaiduSyncdisk\2025\研究\基准地调整研究\20250217关于我所气温指数新增基准地的研究报告.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250217关于我所气温指数新增基准地的研究报告(1).docx
2026-01-14T10:03:30.361071,D:\BaiduSyncdisk\2025\研究\基准地调整研究\20250217改关于我所气温指数新增基准地的研究报告.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250217关于我所气温指数新增基准地的研究报告(2).docx
2026-01-14T10:03:30.404485,D:\BaiduSyncdisk\2025\研究\基准地调整研究\20250217改关于我所气温指数新增基准地的研究报告（修改）.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250217关于我所气温指数新增基准地的研究报告(3).docx
2026-01-14T10:03:30.405992,D:\BaiduSyncdisk\2025\研究\基准地调整研究\2025年2月28日指数站点.xls,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\202503112025年2月28日指数站点.xls
2026-01-14T10:03:30.407279,D:\BaiduSyncdisk\2025\研究\基准地调整研究\corr.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250208corr.xlsx
2026-01-14T10:03:30.483447,D:\BaiduSyncdisk\2025\研究\基准地调整研究\GBT+35562-2017.pdf,D:\BaiduSyncdisk\2025\研究\基准地调整研究\其他\20250206犌狉犪犱犲狊狅犳狊狌狉犳犪犮犲犪犻狉狋犲犿犲狉犪狋狌狉犲犪狊.pdf
2026-01-14T10:03:30.515183,D:\BaiduSyncdisk\2025\研究\基准地调整研究\_《建筑气候区划标准》GB50178－93介绍.pdf,D:\BaiduSyncdisk\2025\研究\基准地调整研究\其他\20250206_《建筑气候区划标准》GB50178－93介绍.pdf
2026-01-14T10:03:30.871512,D:\BaiduSyncdisk\2025\研究\基准地调整研究\_建筑气候区划现状分析及指标修正研究.pdf,D:\BaiduSyncdisk\2025\研究\基准地调整研究\报告\20250206建筑气候区划现状分析及指标修正研究.pdf
2026-01-14T10:03:31.165804,D:\BaiduSyncdisk\2025\研究\基准地调整研究\_气候变化对建筑气候区划的影响.pdf,D:\BaiduSyncdisk\2025\研究\基准地调整研究\其他\20250206气候变化对建筑气候区划的影响.pdf
2026-01-14T10:03:31.167207,D:\BaiduSyncdisk\2025\研究\基准地调整研究\三明_三明.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217三明_三明.xlsx
2026-01-14T10:03:31.168394,D:\BaiduSyncdisk\2025\研究\基准地调整研究\三门峡_三门峡.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217三门峡_三门峡.xlsx
2026-01-14T10:03:31.169555,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_嘉定.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_嘉定.xlsx
2026-01-14T10:03:31.170722,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_奉贤.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_奉贤.xlsx
2026-01-14T10:03:31.171970,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_宝山.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_宝山.xlsx
2026-01-14T10:03:31.173134,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_崇明.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_崇明.xlsx
2026-01-14T10:03:31.174298,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_徐家汇.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_徐家汇.xlsx
2026-01-14T10:03:31.175445,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_松江.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_松江.xlsx
2026-01-14T10:03:31.176573,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_浦东.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_浦东.xlsx
2026-01-14T10:03:31.177734,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_浦东惠南.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_浦东惠南.xlsx
2026-01-14T10:03:31.178854,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_金山.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_金山.xlsx
2026-01-14T10:03:31.180006,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_闵行.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_闵行.xlsx
2026-01-14T10:03:31.181123,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上海_青浦.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上海_青浦.xlsx
2026-01-14T10:03:31.182265,D:\BaiduSyncdisk\2025\研究\基准地调整研究\上饶_上饶.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217上饶_上饶.xlsx
2026-01-14T10:03:31.183445,D:\BaiduSyncdisk\2025\研究\基准地调整研究\东莞_东莞.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217东莞_东莞.xlsx
2026-01-14T10:03:31.184676,D:\BaiduSyncdisk\2025\研究\基准地调整研究\东营_东营.xlsx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\Excel文件\20250217东营_东营.xlsx
2026-01-14T10:03:31.196539,D:\BaiduSyncdisk\2025\研究\基准地调整研究\中原城市群.docx,D:\BaiduSyncdisk\2025\研究\基准地调整研究\其他\20250206中原城市群：.docx
2026-01-14T10:03:31.198567,D:\BaiduSyncdisk\2025\研究\基准地调整研究\中国气候区划示意图.jpg,D:\BaiduSyncdisk\2025\研究\基准地调整研究\图像文件\20250210中国气候区划示意图.jpg
2026-01-14T10:03:31.199865,D:\BaiduSyncdisk\2025\研究\基准地调整研究\中国气候区划简图.png,D:\BaiduSyncdisk\2025\研究\基准地调整研究\图像文件\20250210中国气候区划简图.png
